,username,repositories,followers,stars,forks,big_n
0,jwasham,31,4061,58693,15826,1
1,gilvegliach,18,43,55,10,1
2,shiladitya-bits,28,15,16,11,1
3,diegocstn,23,14,111,7,1
4,ChristianJHughes,28,15,9,5,1
5,ankit167,19,9,0,2,1
6,samuelkarp,24,154,12,1,1
7,Jerryzcn,15,16,2,1,1
8,babhishek21,14,18,6,1,1
9,evanwchen,28,5,0,0,1
10,bkarthikeyan28,13,6,0,0,1
11,ps06756,13,11,0,1,1
12,rackeshnavale87,24,4,3,0,1
13,tmarkley,11,9,0,3,1
14,ankitsablok89,11,22,14,3,1
15,bfortuner,52,101,519,126,1
16,arsh,13,4,10,1,1
17,filiptodoric,15,14,5,1,1
18,iChip,11,4,1,1,1
19,himangshunits,21,5,8,4,1
20,hot13399,11,180,963,696,1
21,spangenberg,33,50,45,29,1
22,ssundarraj,50,144,80,22,1
23,andrerod,55,64,6,3,1
24,yoavz,49,76,238,44,1
25,andmej,96,168,210,78,1
26,SuzyWu2014,84,27,7,7,1
27,tomhennigan,21,65,29,2,1
28,mfoltzgoogle,7,15,0,0,1
29,flexwang,13,37,80,30,1
30,foxish,85,91,14,6,1
31,deanberris,18,72,9,1,1
32,tikurahul,25,28,47,16,1
33,csu,91,344,587,213,1
34,rishirdua,29,139,220,149,1
35,torcellite,21,15,83,62,1
36,BenDiuguid,34,21,11,4,1
37,evandbrown,85,239,37,38,1
38,yang-chen,8,27,11,15,1
39,supersam654,38,10,8,2,1
40,liyinan926,15,18,9,0,1
41,songy23,28,9,0,0,1
42,arikrak,66,41,9,1,1
43,jianglai,13,21,0,0,1
44,tamalsaha,90,66,10,1,1
45,saad-ali,10,94,0,1,1
46,danasilver,59,42,22,9,1
47,Shrugs,96,783,918,112,1
48,mayank2903,8,118,15,8,1
49,allevato,27,116,24,6,1
50,asgarli,8,11,0,0,1
51,Strilanc,55,78,467,88,1
52,fengnanyue,51,430,30,5,1
53,nlutsenko,17,494,26,4,1
54,andreazevedo,10,271,79,44,1
55,masterrr,43,142,34,7,1
56,lily-zhangying,48,133,18,17,1
57,viswanathgs,28,151,203,39,1
58,Kilenaitor,38,28,23,20,1
59,atuljangra,40,15,31,15,1
60,frantic,79,322,199,58,1
61,Nicholas-Swift,34,18,7,2,1
62,gontovnik,15,493,7049,836,1
63,biesnecker,9,20,57,16,1
64,lukkm,16,12,3,3,1
65,sud218,13,12,16,3,1
66,krschultz,29,131,4138,552,1
67,williampsmith,35,6,3,8,1
68,bradware,25,7,11,7,1
69,zxl9171,13,11,9,0,1
70,flarnie,106,285,77,23,1
71,mjesun,11,37,15,3,1
72,ivmaykov,26,6,0,0,1
73,hyurumi,9,8,15,8,1
74,bitsecondal,22,1,2,2,1
75,tangziyi001,16,15,7,1,1
76,corywilhite,9,5,7,2,1
77,BrentChesny,7,7,8,2,1
78,pmoulton,25,10,3,1,1
79,amnn,43,31,21,5,1
80,michaelsuo,12,3,0,1,1
81,mikecole20,5,5,17,3,1
82,jeffbowen,8,35,3,2,1
83,Sally-Yang-Jing-Ou,17,23,12,2,1
84,tylerlacroix,9,6,0,1,1
85,Stiivi,42,216,602,99,1
86,glamtechie,5,4,2,2,1
87,mikearmstrong001,8,24,0,1,1
88,ninas,7,16,3,10,1
89,nsomar,87,189,5064,468,1
90,kyh8,11,6,2,5,1
91,anindyaspaul,21,28,5,10,1
92,poojasethi,13,12,6,1,1
93,ialexryan,20,29,46,17,1
94,kulshrax,4,3,0,1,1
95,AnatoliyS,12,5,4,5,1
96,orrsella,20,175,774,162,1
97,harrischristiansen,36,32,21,16,1
98,ammubhave,50,24,5,6,1
99,zongzhengli,10,7,15,7,1
100,agola11,10,5,12,4,1
101,rogy,1,10,0,0,1
102,cuhtis,18,17,15,0,1
